Wheel        , cross-sectional width [mm] , tire aspect ratio [%] , rim diameter [inch] , d [mm] , Inertia , F [-]
395/85 R20   , 386.00                     , 0.85                  , 20                  , 1180.0 , 27.9    , 3.05
425/65 R22.5 , 430.00                     , 0.65                  , 22.5                , 1124.0 , 22.5    , 3.03
495/45 R22.5 , 500.00                     , 0.45                  , 22.5                , 1018.0 , 20.7    , 3.03
525/65 R20.5 , 530.00                     , 0.65                  , 20.5                , 1203.0 , 35      , 3.03
11.00 R16    , 279                        , 1.00                  , 16                  , 980    , 11.00   , 3.05
6.00 R9      , 160                        , 1.00                  , 9                   , 540    , 1.00    , 3.05
205/65 R17.5 , 205                        , 0.65                  , 17.5                , 711    , 4.00    , 3.03
225/75 R16C  , 223                        , 0.75                  , 16                  , 744    , 3.00    , 3.03
255/100 R16  , 250                        , 1.00                  , 16                  , 916    , 8.00    , 3.05
255/60 R19.5 , 257                        , 0.60                  , 19.5                , 801    , 7.00    , 3.03
265/55 R19.5 , 264                        , 0.55                  , 19.5                , 787    , 6.00    , 3.03
275/60 R19.5 , 278                        , 0.60                  , 19.5                , 825    , 6.44    , 3.03
275/80 R20   , 278                        , 0.80                  , 20                  , 948    , 9.00    , 3.05
285/65 R16C  , 292                        , 0.65                  , 16                  , 776    , 5.49    , 3.03
295/75 R22.5 , 298                        , 0.75                  , 22.5                , 1014   , 14.00   , 3.05
325/85 R16   , 325                        , 0.85                  , 16                  , 958    , 12.00   , 3.05
335/80 R20   , 340                        , 0.80                  , 20                  , 1044   , 15.84   , 3.05
365/80 R20   , 360                        , 0.80                  , 20                  , 1092   , 21.00   , 3.05
435/50 R19.5 , 438                        , 0.50                  , 19.5                , 931    , 16.00   , 3.03
435/50 R22.5 , 438                        , 0.50                  , 22.5                , 1008   , 22.00   , 3.03
445/40 R22.5 , 453                        , 0.40                  , 22.5                , 936    , 12.93   , 3.03
445/45 R19.5 , 446                        , 0.45                  , 19.5                , 895    , 14.00   , 3.03
445/65 R22.5 , 444                        , 0.65                  , 22.5                , 1150   , 29.00   , 3.03
445/75 R22.5 , 444                        , 0.75                  , 22.5                , 1240   , 36.00   , 3.05
455/40 R22.5 , 453                        , 0.40                  , 22.5                , 936    , 12.93   , 3.03
455/45 R22.5 , 453                        , 0.45                  , 22.5                , 982    , 19.00   , 3.03
475/80 R20   , 484                        , 0.80                  , 20                  , 1268   , 48.00   , 3.05
7.00 R16C    , 198                        , 1.00                  , 16                  , 778    , 4.00    , 3.05
7.50 R15     , 212                        , 0.92                  , 15                  , 772    , 4.00    , 3.05
7.50 R16     , 210                        , 1.00                  , 16                  , 806    , 4.00    , 3.05
7.50 R16C    , 210                        , 0.94                  , 16                  , 802    , 5.13    , 3.05
8.25 R15     , 230                        , 1.00                  , 15                  , 836    , 5.00    , 3.05
8.25 R16C    , 230                        , 1.00                  , 16                  , 860    , 6.00    , 3.05
8.5 R17.5    , 215                        , 0.80                  , 17.5                , 802    , 4.00    , 3.05
8 R17.5      , 208                        , 0.80                  , 17.5                , 784    , 4.00    , 3.05
LT265/75 R16 , 267                        , 0.75                  , 16                  , 804    , 5.82    , 3.05
385/55 R19.5 , 386                        , 0.55                  , 19.5                , 919    , 11.14   , 3.03
#
24 R21       , 610                        , 0.80                  , 21                  , 1372   , 70.15   , 3.05
205/70 R15C  , 209                        , 0.70                  , 15                  , 669    , 1.66    , 3.03
215/70 R15C  , 221                        , 0.70                  , 15                  , 683    , 1.60    , 3.03
225/70 R15C  , 228                        , 0.70                  , 15                  , 697    , 1.82    , 3.03
185/75 R16C  , 184                        , 0.75                  , 16                  , 684    , 1.67    , 3.03
195/65 R16C  , 201                        , 0.65                  , 16                  , 660    , 1.59    , 3.03
195/75 R16C  , 196                        , 0.75                  , 16                  , 698    , 1.80    , 3.03
205/65 R16C  , 209                        , 0.65                  , 16                  , 672    , 1.68    , 3.03
205/75 R16C  , 203                        , 0.75                  , 16                  , 714    , 2.09    , 3.03
215/65 R16C  , 221                        , 0.65                  , 16                  , 686    , 1.83    , 3.03
215/75 R16C  , 216                        , 0.75                  , 16                  , 728    , 2.24    , 3.03
225/65 R16C  , 228                        , 0.65                  , 16                  , 698    , 1.93    , 3.03
235/65 R16C  , 240                        , 0.65                  , 16                  , 712    , 2.12    , 3.03
215/60 R17C  , 221                        , 0.60                  , 17                  , 690    , 1.50    , 3.03
235/60 R17C  , 240                        , 0.60                  , 17                  , 714    , 2.29    , 3.03
