Bus Model,Type,engine Type,length in m,wide in m,height in m,registered passengers
Mercedes-Benz - Travego,raised floor,diesel,12.180,2.550,2.100,51
Mercedes-Benz - Travego L,raised floor,diesel,14.030,2.550,2.100,59
Mercedes-Benz - Travego M,raised floor,diesel,13.000,2.550,2.100,55
Neoplan - Cityliner,raised floor,diesel,12.240,2.550,2.066,49
Neoplan - Cityliner C 13m,raised floor,diesel,12.990,2.550,2.066,53
Neoplan - Cityliner C 14m,raised floor,diesel,13.990,2.550,2.066,53
Neoplan - Cityliner L,raised floor,diesel,12.990,2.550,2.066,57
Neoplan - Cityliner L,raised floor,diesel,13.990,2.550,2.066,57
Neoplan - Starliner C,raised floor,diesel,12.990,2.550,2.005,53
Neoplan - Starliner L,raised floor,diesel,13.990,2.550,2.005,57
Neoplan - Tourliner,raised floor,diesel,12.000,2.550,2.153,49
Neoplan - Tourliner C,raised floor,diesel,13.260,2.550,2.153,57
Neoplan - Tourliner L,raised floor,diesel,13.800,2.550,2.153,57
Scania - Irizar Century 12.9m,raised floor,diesel,12.850,2.550,2.100,57
Scania - Irizar Century 12m,raised floor,diesel,12.000,2.550,2.100,53
Scania - Irizar Century 13.8m,raised floor,diesel,13.720,2.550,2.100,61
Scania - Irizar Century 15m,raised floor,diesel,15.000,2.550,2.100,65
Scania - Irizar i4 10.7m,raised floor,diesel,10.700,2.550,2.100,47
Scania - Irizar i4 11.48m,raised floor,diesel,11.480,2.550,2.100,51
Scania - Irizar i4 12.2m,raised floor,diesel,12.200,2.550,2.100,55
Scania - Irizar i4 12.9m,raised floor,diesel,12.900,2.550,2.100,53
Scania - Irizar i4 13.64m,raised floor,diesel,13.640,2.550,2.100,63
Scania - Irizar i4 14.36m,raised floor,diesel,14.360,2.550,2.100,67
Scania - Irizar i4 15m,raised floor,diesel,15.000,2.550,2.100,71
Scania - Irizar PB 12.9m,raised floor,diesel,12.920,2.550,2.100,53
Scania - Irizar PB 12m,raised floor,diesel,12.000,2.550,2.100,49
Scania - Irizar PB 13.9m,raised floor,diesel,13.870,2.550,2.100,57
Scania - Irizar PB 15m,raised floor,diesel,14.980,2.550,2.100,61
Scania - Omnicity 12m,low floor,diesel,12.000,2.550,2.300,106
Scania - Omnicity 18m,low floor,diesel,18.000,2.550,2.300,159
Scania - Omniexpress 12.4m,raised floor,diesel,12.400,2.550,2.200,49
Scania - Omnilink 12.7m,low floor,diesel,12.700,2.550,2.300,112
Scania - Omnilink 12m,low floor,diesel,12.000,2.550,2.300,106
Scania - Omnilink 13.7m,low floor,diesel,13.700,2.550,2.300,120
Scania - Omnilink 14.6m,low floor,diesel,14.600,2.550,2.300,130
Scania - Omnilink 18.1m,low floor,diesel,18.100,2.550,2.300,159
Scania - Touring 12m,raised floor,diesel,12.090,2.550,2.100,51
Scania - Touring 13.7m,raised floor,diesel,13.700,2.550,2.100,59
Setra - S 411 HD,raised floor,diesel,10.160,2.550,2.100,37
Setra - S 412 UL,raised floor,diesel,10.805,2.550,2.170,45
Setra - S 415 GT,raised floor,diesel,12.200,2.550,2.010,51
Setra - S 415 GT-HD,raised floor,diesel,12.200,2.550,2.010,51
Setra - S 415 H,raised floor,diesel,12.200,2.550,2.010,53
Setra - S 415 HD,raised floor,diesel,12.200,2.550,2.100,49
Setra - S 415 HDH,raised floor,diesel,12.300,2.550,2.100,51
Setra - S 415 NF,low floor,diesel,11.950,2.550,2.313,42
Setra - S 415 UL,raised floor,diesel,12.200,2.550,2.170,53
Setra - S 416 GT,raised floor,diesel,13.040,2.550,2.010,55
Setra - S 416 GT-HD ,raised floor,diesel,13.040,2.550,2.010,55
Setra - S 416 GT-HD/2,raised floor,diesel,13.040,2.550,2.010,55
Setra - S 416 H,raised floor,diesel,13.040,2.550,2.010,57
Setra - S 416 HDH,raised floor,diesel,13.190,2.550,2.100,55
Setra - S 416 NF,low floor,diesel,13.008,2.550,2.313,48
Setra - S 416 UL,raised floor,diesel,13.040,2.550,2.170,57
Setra - S 417 GT-HD,raised floor,diesel,14.050,2.550,2.010,59
Setra - S 417 HDH,raised floor,diesel,14.050,2.550,2.100,59
Setra - S 417 UL,raised floor,diesel,14.050,2.550,2.170,61
Setra - S 419 GT-HD,raised floor,diesel,14.960,2.550,2.010,67
Setra - S 419 UL,raised floor,diesel,14.980,2.550,2.170,69
Solaris - Alpino,low floor,diesel,8.600,2.400,2.370,73
Solaris - Alpino 8.9m LE,semi low floor,diesel,8.950,2.400,2.300,65
Solaris - InterUrbino 12,raised floor,diesel,11.995,2.550,2.100,56
Solaris - Urbino 10,low floor,diesel,9.940,2.550,2.370,78
Solaris - Urbino 12,low floor,diesel,12.000,2.550,2.370,95
Solaris - Urbino 12 CNG,low floor,gas,12.000,2.550,2.370,87
Solaris - Urbino 12 Hybrid,low floor,hybrid,12.000,2.550,2.370,81
Solaris - Urbino 12 LE,semi low floor,diesel,12.000,2.550,2.300,75
Solaris - Urbino 12 LE CNG,semi low floor,gas,12.000,2.550,2.300,70
Solaris - Urbino 15,low floor,diesel,14.590,2.550,2.370,123
Solaris - Urbino 15 CNG,low floor,gas,14.590,2.550,2.370,115
Solaris - Urbino 15 LE,semi low floor,diesel,14.590,2.550,2.300,120
Solaris - Urbino 15 LE CNG,semi low floor,gas,14.590,2.550,2.300,114
Solaris - Urbino 18,low floor,diesel,18.000,2.550,2.370,156
Solaris - Urbino 18 CNG,low floor,gas,18.000,2.550,2.370,150
Solaris - Urbino 18 Hybrid,low floor,hybrid,18.000,2.550,2.370,142
Solaris - Urbino 18 LE CNG,semi low floor,gas,18.000,2.550,2.300,150
Solaris - Vacanza 12,raised floor,diesel,12.000,2.550,2.100,49
Solaris - Vacanza 13,raised floor,diesel,12.900,2.550,2.100,53
Volvo - 7900 Articulated CNG,low floor,gas,18.084,2.550,2.300,153
Volvo - 7900 Articulated Diesel,low floor,diesel,18.084,2.550,2.300,159
Volvo - 7900 CNG,low floor,gas,12.084,2.550,2.300,98
Volvo - 7900 Diesel,low floor,diesel,12.084,2.550,2.300,101
Volvo - 7900 Hybrid,low floor,hybrid,12.084,2.550,2.300,92
Volvo - 8900 Diesel 12.2m,raised floor,diesel,12.202,2.550,2.100,53
Volvo - 8900 Diesel 12m LE,semi low floor,diesel,12.066,2.550,2.300,83
Volvo - 8900 Diesel 13.7m LE Boogy,semi low floor,diesel,13.700,2.550,2.300,98
Volvo - 8900 Diesel 13m,raised floor,diesel,13.000,2.550,2.100,57
Volvo - 8900 Diesel 13m LE,semi low floor,diesel,13.000,2.550,2.300,89
Volvo - 8900 Diesel 14.7m LE Boogy,semi low floor,diesel,14.766,2.550,2.300,110
Volvo - 9700 Diesel 12.3m,raised floor,diesel,12.290,2.550,2.100,50
