HeatingDistributionCase , Environmental ID , R-744 , non R-744 2-stage , non R-744 3-stage , non R-744 4-stage , non R-744 continuous , electric heater , fuel heater
HD6                     , 7                , -     , 100               , 100               , 100               , 100                  , 0               , -
HD6                     , 8                , -     , 100               , 100               , 100               , 100                  , 0               , -
HD6                     , 9                , -     , 100               , 100               , 100               , 100                  , 0               , -
HD6                     , 10               , -     , 100               , 100               , 100               , 100                  , 0               , -
HD6                     , 11               , -     , 100               , 100               , 100               , 100                  , 0               , -

# Non R-744 + other electric heater + fuel heater
HD7                     , 1                , -     , 0                 , 0                 , 0                 , 0                    , 20              , 80
HD7                     , 2                , -     , 70                , 70                , 70                , 70                   , 0               , 30
HD7                     , 3                , -     , 80                , 80                , 80                , 80                   , 0               , 20
HD7                     , 4                , -     , 100               , 100               , 100               , 100                  , 0               , 0
HD7                     , 5                , -     , 100               , 100               , 100               , 100                  , 0               , 0
HD7                     , 6                , -     , 100               , 100               , 100               , 100                  , 0               , 0
HD7                     , 7                , -     , 100               , 100               , 100               , 100                  , 0               , 0
HD7                     , 8                , -     , 100               , 100               , 100               , 100                  , 0               , 0
HD7                     , 9                , -     , 100               , 100               , 100               , 100                  , 0               , 0
HD7                     , 10               , -     , 100               , 100               , 100               , 100                  , 0               , 0
HD7                     , 11               , -     , 100               , 100               , 100               , 100                  , 0               , 0

# Non R-744 + fuel heater
HD8                     , 1                , -     , 0                 , 0                 , 0                 , 0                    , -               , 100
HD8                     , 2                , -     , 70                , 70                , 70                , 70                   , -               , 30
HD8                     , 3                , -     , 80                , 80                , 80                , 80                   , -               , 20
HD8                     , 4                , -     , 100               , 100               , 100               , 100                  , -               , 0
HD8                     , 5                , -     , 100               , 100               , 100               , 100                  , -               , 0
HD8                     , 6                , -     , 100               , 100               , 100               , 100                  , -               , 0
HD8                     , 7                , -     , 100               , 100               , 100               , 100                  , -               , 0
HD8                     , 8                , -     , 100               , 100               , 100               , 100                  , -               , 0
HD8                     , 9                , -     , 100               , 100               , 100               , 100                  , -               , 0
HD8                     , 10               , -     , 100               , 100               , 100               , 100                  , -               , 0
HD8                     , 11               , -     , 100               , 100               , 100               , 100                  , -               , 0

# Other electric heater only
HD9                     , 1                , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 2                , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 3                , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 4                , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 5                , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 6                , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 7                , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 8                , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 9                , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 10               , -     , -                 , -                 , -                 , -                    , 100             ,
HD9                     , 11               , -     , -                 , -                 , -                 , -                    , 100             ,

# Ohter electric heater + fuel heater
HD10                    , 1                , -     , -                 , -                 , -                 , -                    , 20              , 80
HD10                    , 2                , -     , -                 , -                 , -                 , -                    , 0               , 100
HD10                    , 3                , -     , -                 , -                 , -                 , -                    , 0               , 100
HD10                    , 4                , -     , -                 , -                 , -                 , -                    , 0               , 100
HD10                    , 5                , -     , -                 , -                 , -                 , -                    , 0               , 100
HD10                    , 6                , -     , -                 , -                 , -                 , -                    , 0               , 100
HD10                    , 7                , -     , -                 , -                 , -                 , -                    , 0               , 100
HD10                    , 8                , -     , -                 , -                 , -                 , -                    , 0               , 100
HD10                    , 9                , -     , -                 , -                 , -                 , -                    , 0               , 100
HD10                    , 10               , -     , -                 , -                 , -                 , -                    , 0               , 100
HD10                    , 11               , -     , -                 , -                 , -                 , -                    , 0               , 100

# fuel heater only
HD11                    , 1                , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 2                , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 3                , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 4                , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 5                , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 6                , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 7                , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 8                , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 9                , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 10               , -     , -                 , -                 , -                 , -                    , -               , 100
HD11                    , 11               , -     , -                 , -                 , -                 , -                    , -               , 100

# no heating
HD12                    , 1                , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 2                , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 3                , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 4                , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 5                , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 6                , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 7                , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 8                , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 9                , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 10               , -     , -                 , -                 , -                 , -                    , -               , -
HD12                    , 11               , -     , -                 , -                 , -                 , -                    , -               , -
